Dataset,Número de cidades,Limiar,Twice-Around-The-Tree,,,,Christofides,,,,Branch-And-Bound,,,
,,,Custo ,Fator Aprox,Tempo (s),Memória (mb),Custo ,Fator Aprox,Tempo (s),Memória (mb),Custo ,Fator Aprox,Tempo (s),Memória (mb)
eil51.tsp,51,426,641,"1,50","0,044",81,"480,5390933","1,13","0,096",81,N/A,N/A,N/A,N/A
berlin52.tsp,52,7.542,10.116,"1,34","0,044",65,"8563,804871","1,14","0,096",66,N/A,N/A,N/A,N/A
st70.tsp,70,675,873,"1,29","0,055",73,"764,1060372","1,13","0,158",74,N/A,N/A,N/A,N/A
eil76.tsp,76,538,707,"1,31","0,061",72,"620,6683014","1,15","0,210",74,N/A,N/A,N/A,N/A
pr76.tsp,76,108159,145.338,"1,34","0,061",77,"116683,5346","1,08","0,212",78,N/A,N/A,N/A,N/A
rat99.tsp,99,1211,1.723,"1,42","0,091",73,"1367,431979","1,13","0,219",74,N/A,N/A,N/A,N/A
kroA100.tsp,100,21282,27.212,"1,28","0,094",71,"23292,98466","1,09","0,308",71,N/A,N/A,N/A,N/A
kroB100.tsp,100,22141,25.881,"1,17","0,096",74,"24009,19444","1,08","0,309",75,N/A,N/A,N/A,N/A
kroC100.tsp,100,20749,27.967,"1,35","0,091",75,"22755,48691","1,10","0,295",77,N/A,N/A,N/A,N/A
kroD100.tsp,100,21294,27.113,"1,27","0,100",73,"23786,75068","1,12","0,255",74,N/A,N/A,N/A,N/A
kroE100.tsp,100,22068,30.507,"1,38","0,106",75,"23819,16664","1,08","0,435",75,N/A,N/A,N/A,N/A
rd100.tsp,100,7910,10.792,"1,36","0,082",73,"8905,492431","1,13","0,411",74,N/A,N/A,N/A,N/A
eil101.tsp,101,629,831,"1,32","0,078",75,"724,5566811","1,15","0,399",77,N/A,N/A,N/A,N/A
lin105.tsp,105,14379,19.498,"1,36","0,083",77,"16490,62853","1,15","0,270",78,N/A,N/A,N/A,N/A
pr107.tsp,107,44303,54.238,"1,22","0,090",76,"47908,94275","1,08","0,194",78,N/A,N/A,N/A,N/A
pr124.tsp,124,59030,74.141,"1,26","0,101",88,"64667,63767","1,10","0,172",90,N/A,N/A,N/A,N/A
bier127.tsp,127,118282,158.638,"1,34","0,115",85,"133320,8864","1,13","0,465",93,N/A,N/A,N/A,N/A
ch130.tsp,130,6110,8.129,"1,33","0,105",88,"6837,521304","1,12","0,414",93,N/A,N/A,N/A,N/A
pr136.tsp,136,96772,151.914,"1,57","0,098",89,"103772,9123","1,07","0,170",94,N/A,N/A,N/A,N/A
pr144.tsp,144,58537,80.596,"1,38","0,097",68,"70611,60136","1,21","0,160",89,N/A,N/A,N/A,N/A
ch150.tsp,150,6528,8.333,"1,28","0,113",65,"7163,403026","1,10","0,461",90,N/A,N/A,N/A,N/A
kroA150.tsp,150,26524,35.123,"1,32","0,106",68,"29356,83585","1,11","0,663",96,N/A,N/A,N/A,N/A
kroB150.tsp,150,26130,36.155,"1,38","0,127",77,"29832,76161","1,14","0,691",99,N/A,N/A,N/A,N/A
pr152.tsp,152,73682,87.999,"1,19","0,109",83,"79227,08223","1,08","0,165",96,N/A,N/A,N/A,N/A
u159.tsp,159,42080,57.788,"1,37","0,130",65,"46891,62783","1,11","0,417",95,N/A,N/A,N/A,N/A
rat195.tsp,195,2323,3.318,"1,43","0,169",82,"2659,089274","1,14","0,759",99,N/A,N/A,N/A,N/A
d198.tsp,198,15780,19.218,"1,22","0,161",70,"17316,36644","1,10","0,778",98,N/A,N/A,N/A,N/A
kroA200.tsp,200,29368,40.031,"1,36","0,170",68,"32993,62281","1,12","1,177",87,N/A,N/A,N/A,N/A
kroB200.tsp,200,29437,40.711,"1,38","0,166",70,"32803,03498","1,11","0,896",99,N/A,N/A,N/A,N/A
ts225.tsp,225,126643,188.010,"1,48","0,233",70,"134282,1704","1,06","0,279",102,N/A,N/A,N/A,N/A
tsp225.tsp,225,3919,5.116,"1,31","0,250",80,"4361,092917","1,11","0,936",104,N/A,N/A,N/A,N/A
pr226.tsp,226,80369,116.692,"1,45","0,236",85,"92425,75354","1,15","0,630",102,N/A,N/A,N/A,N/A
gil262.tsp,262,2378,3.358,"1,41","0,346",79,"2688,025493","1,13","2,174",112,N/A,N/A,N/A,N/A
pr264.tsp,264,49135,66.467,"1,35","0,304",86,"54527,22659","1,11","0,674",116,N/A,N/A,N/A,N/A
a280.tsp,280,2579,3.630,"1,41","0,336",79,"2970,066925","1,15","1,529",115,N/A,N/A,N/A,N/A
pr299.tsp,299,48191,64.646,"1,34","0,371",83,"52999,52513","1,10","2,009",112,N/A,N/A,N/A,N/A
lin318.tsp,318,42029,58.145,"1,38","0,440",86,"47464,57076","1,13","2,573",111,N/A,N/A,N/A,N/A
linhp318.tsp,318,41345,58.145,"1,41","0,450",84,"47464,57076","1,15","2,560",123,N/A,N/A,N/A,N/A
rd400.tsp,400,15281,20.250,"1,33","0,508",81,"17352,20656","1,14","3,980",124,N/A,N/A,N/A,N/A
fl417.tsp,417,11861,16.297,"1,37","0,484",92,"13416,1429","1,13","2,980",123,N/A,N/A,N/A,N/A
pr439.tsp,439,107217,144.624,"1,35","0,553",91,"120362,9334","1,12","3,370",135,N/A,N/A,N/A,N/A
pcb442.tsp,442,50778,69.365,"1,37","0,550",92,"54871,725","1,08","3,081",139,N/A,N/A,N/A,N/A
d493.tsp,493,35002,45.427,"1,30","0,720",105,"38317,49773","1,09","4,910",142,N/A,N/A,N/A,N/A
u574.tsp,574,36905,49.083,"1,33","0,943",110,"41144,46079","1,11","8,102",144,N/A,N/A,N/A,N/A
rat575.tsp,575,6773,9.439,"1,39","0,952",114,"7833,018494","1,16","9,256",146,N/A,N/A,N/A,N/A
p654.tsp,654,34643,49.732,"1,44","1,267",110,"39311,00163","1,13","10,234",152,N/A,N/A,N/A,N/A
d657.tsp,657,48912,65.730,"1,34","1,311",122,"54841,15459","1,12","12,731",152,N/A,N/A,N/A,N/A
u724.tsp,724,41910,57.780,"1,38","1,630",148,"48251,8192","1,15","16,028",178,N/A,N/A,N/A,N/A
rat783.tsp,783,8806,12.054,"1,37","2,013",141,"10069,50923","1,14","23,090",182,N/A,N/A,N/A,N/A
pr1002.tsp,1002,259045,342.244,"1,32","3,308",173,"286423,9967","1,11","37,258",192,N/A,N/A,N/A,N/A
u1060.tsp,1060,224094,302.915,"1,35","4,161",171,"248892,7159","1,11","40,223",194,N/A,N/A,N/A,N/A
vm1084.tsp,1084,239297,315.268,"1,32","2,104",188,"261748,6676","1,09","42,345",202,N/A,N/A,N/A,N/A
pcb1173.tsp,1173,56892,80.695,"1,42","2,528",205,"63391,27209","1,11","44,402",234,N/A,N/A,N/A,N/A
d1291.tsp,1291,50801,74.658,"1,47","3,129",295,"57183,30074","1,13","59,890",345,N/A,N/A,N/A,N/A
rl1304.tsp,1304,252948,347.783,"1,37","3,362",312,"277467,5177","1,10","70,678",356,N/A,N/A,N/A,N/A
rl1323.tsp,1323,270199,380.422,"1,41","3,454",315,"297125,4437","1,10","80,789",370,N/A,N/A,N/A,N/A
nrw1379.tsp,1379,56638,79.156,"1,40","3,931",345,"63783,10865","1,13","90,568",385,N/A,N/A,N/A,N/A
fl1400.tsp,1400,20127,27.916,"1,39","3,855",411,"22860,52069","1,14","101,234",446,N/A,N/A,N/A,N/A
u1432.tsp,1432,152970,214.431,"1,40","3,839",535,"171928,897","1,12","108,357",556,N/A,N/A,N/A,N/A
fl1577.tsp,1577,22249,31.223,"1,40","5,888",621,"24516,08954","1,10","112,341",654,N/A,N/A,N/A,N/A
d1655.tsp,1655,62128,85.681,"1,38","5,637",667,"70420,5347","1,13","117,345",679,N/A,N/A,N/A,N/A
vm1748.tsp,1748,336556,444.659,"1,32","6,805",749,"376620,389","1,12","122,345",773,N/A,N/A,N/A,N/A
u1817.tsp,1817,57201,83.502,"1,46","6,594",803,"67022,9291","1,17","168,245",808,N/A,N/A,N/A,N/A
rl1889.tsp,1889,316536,449.811,"1,42","8,100",862,"345886,8555","1,09","170,345",875,N/A,N/A,N/A,N/A
d2103.tsp,2103,80450,124.534,"1,55","9,727",1028,"84463,76225","1,05","267,779",1039,N/A,N/A,N/A,N/A
u2152.tsp,2152,64253,95.076,"1,48","10,409",1049,"73750,88375","1,15","278,668",1077,N/A,N/A,N/A,N/A
u2319.tsp,2319,234256,320.533,"1,37","12,782",1226,"274033,2367","1,17","403,884",1258,N/A,N/A,N/A,N/A
pr2392.tsp,2392,378032,523.133,"1,38","13,563",1298,"425096,5735","1,12","456,778",1312,N/A,N/A,N/A,N/A
pcb3038.tsp,3038,137694,196.574,"1,43","31,714",2220,"154128,7078","1,12","704,219",2289,N/A,N/A,N/A,N/A
fl3795.tsp,3795,28772,39.073,"1,36","84,159",3258,"31537,6669","1,10","972,450",3346,N/A,N/A,N/A,N/A
fnl4461.tsp,4461,182566,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rl5915.tsp,5915,565530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rl5934.tsp,5934,556045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rl11849.tsp,11849,923368,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usa13509.tsp,13509,19982889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
brd14051.tsp,14051,469445,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d15112.tsp,15112,1573152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d18512.tsp,18512,645488,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,
Valor Médio,,,,"1,37",,,,"1,12",,,,,,